id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
150,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD THREE KINGS BLOCKBUSTER,0,0.45
151,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD SHELTERING SKY BLKBSTER,1,3.99
152,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD SHELTERING SKY BLKBSTER,0,0.36
153,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD PINK PANTHER BLOCKBUSTER,2,3
154,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD PINK PANTHER BLOCKBUSTER,0,0.27
155,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD IS ANYBODY THERE BLKBSTR,3,4.99
156,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD IS ANYBODY THERE BLKBSTR,0,0.45
157,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD DID U HR ABT THE MORGANS,1,4.99
158,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD DID U HR ABT THE MORGANS,0,0.45
159,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD GHOST WRITER BLKBSTR,1,4.99
160,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD GHOST WRITER BLKBSTR,0,0.45
161,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD INVICTUS BLOCKBUSTER,1,4.95
162,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD INVICTUS BLOCKBUSTER,0,0.44
163,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD INFORMANT BLOCKBUSTER,1,4.99
164,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD INFORMANT BLOCKBUSTER,0,0.45
165,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD LAST CHANCE HARVEY,1,4.99
166,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD LAST CHANCE HARVEY,0,0.45
167,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,LP,DVD THE MISSING BLOCKBUSTER,1,4.95
168,2790_1512 INT SAUSALITO ARMS APT (STG),2011/4/29,2011/4/14,TAX,DVD THE MISSING BLOCKBUSTER,0,0.45
