id,Location,return_date,start_ date,FF2,item_description,quantity,cost_amount
431,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK JULIET NAKED B&N,1,5.38
432,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK JULIET NAKED B&N,0,0.47
433,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FLAW IN THE BLOOD BN,1,5.38
434,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FLAW IN THE BLOOD BN,0,0.47
435,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK MOMMYWOOD B&N,1,5.38
436,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK MOMMYWOOD B&N,0,0.47
437,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FIXER UPPER B&N,1,5.38
438,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FIXER UPPER B&N,0,0.47
439,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BONE CROSSED B&N,1,5.38
440,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BONE CROSSED B&N,0,0.47
441,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK DRACULA  THE UN_DEAD B&N,2,6.28
442,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK DRACULA  THE UN_DEAD B&N,0,0.55
443,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK DROOD B&N,1,6.28
444,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK DROOD B&N,0,0.55
445,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FINISHING TOUCHES B&N,1,5.38
446,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FINISHING TOUCHES B&N,0,0.47
447,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK THANKS FOR THE MEMORIES B,1,5.38
448,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK THANKS FOR THE MEMORIES B,0,0.47
449,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK RISE AND SHINE B&N,1,4.48
450,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK RISE AND SHINE B&N,0,0.39
451,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK HOW TO BE A MOVIE STAR B&,1,6.28
452,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK HOW TO BE A MOVIE STAR B&,0,0.55
453,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK APPOINTMENT WITH DEATH B&,1,5.38
454,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK APPOINTMENT WITH DEATH B&,0,0.47
455,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK DEAD WEST B&N,1,4.48
456,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK DEAD WEST B&N,0,0.39
457,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK 40 DOG TRICKS.. B&N,1,6.28
458,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK 40 DOG TRICKS.. B&N,0,0.55
459,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK GRADUATE SCHOOL IN THE..,1,6.28
460,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK GRADUATE SCHOOL IN THE..,0,0.55
461,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FASION OF THE 70INCHS B&N,1,7.18
462,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FASION OF THE 70INCHS B&N,0,0.63
463,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK LIPSTICK APOLOGY B&N,4,4.48
464,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK LIPSTICK APOLOGY B&N,0,0.39
465,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK MONDO LUCHA A GO GO..B&N,1,6.28
466,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK MONDO LUCHA A GO GO..B&N,0,0.55
467,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK LUXURY HOME DESIGN B&N,1,19.79
468,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK LUXURY HOME DESIGN B&N,0,1.73
469,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK WRITERS DIGEST YEARBOOK B,1,5.39
470,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK WRITERS DIGEST YEARBOOK B,0,0.47
471,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK MOTORCYCLE ESCAPES B&N,1,5.39
472,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK MOTORCYCLE ESCAPES B&N,0,0.47
473,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ARENA HOMME PLUS B&N,1,13.95
474,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ARENA HOMME PLUS B&N,0,1.22
475,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ARCHIVE B&N,1,13.41
476,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ARCHIVE B&N,0,1.17
477,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK FAMOUS MONTERS OF FILM B&,1,8.99
478,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK FAMOUS MONTERS OF FILM B&,0,0.79
479,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK TRICYCLE  BUDDHIST... B&N,1,7.19
480,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK TRICYCLE  BUDDHIST... B&N,0,0.63
481,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BULLET B&N,1,8.09
482,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BULLET B&N,0,0.71
483,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ANIMAL CONNECTION... B&N,1,21.56
484,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ANIMAL CONNECTION... B&N,0,1.89
485,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK GENIUS IN ALL OF US...B&N,1,14.35
486,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK GENIUS IN ALL OF US...B&N,0,1.26
487,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK ICONOCLAST  A NEURO..,1,15.25
488,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK ICONOCLAST  A NEURO..,0,1.33
489,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK RISING FORCE THE MAGIC B,1,22.36
490,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK RISING FORCE THE MAGIC B,0,1.96
491,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK DANCE OF THE PHOTONS.. B&,1,20.8
492,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK DANCE OF THE PHOTONS.. B&,0,1.82
493,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK WRAPAROUND UNIVERSE B&N,1,31.2
494,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK WRAPAROUND UNIVERSE B&N,0,2.73
495,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK COMPLETE IDIOT GUIDE... B,1,17.05
496,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK COMPLETE IDIOT GUIDE... B,0,1.49
497,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK PORTRAITS OF THE MIND.. B,1,28
498,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK PORTRAITS OF THE MIND.. B,0,2.45
499,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK QUANTUM MAN  RICHARD FEY,1,19.96
500,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK QUANTUM MAN  RICHARD FEY,0,1.75
501,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK BEAUTIFUL INVISIBLE... B&,1,27.96
502,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK BEAUTIFUL INVISIBLE... B&,0,2.45
503,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK IN SEARCH OF THE MULTIVE,1,19.96
504,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK IN SEARCH OF THE MULTIVE,0,1.75
505,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK CYCLES OF TIME... B&N,1,23.16
506,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK CYCLES OF TIME... B&N,0,2.03
507,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK NEUTRINO B&N,1,15.16
508,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK NEUTRINO B&N,0,1.33
509,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,BK HIDDEN REALITY... B&N,1,21.56
510,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,BK HIDDEN REALITY... B&N,0,1.89
511,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,TAX,MISC MAGAZINES,0,23.51
512,2790_1520 INT MOLLYINCHS ROOM,2011/7/14,2011/6/14,LP,MISC MAGAZINES,100,245.12
4,2790_1502 EXT CITY PARK,2011/7/2,2011/6/2,LP,6X FLAGS,12,599.94
5,2790_1502 EXT CITY PARK,2011/7/2,2011/6/2,TAX,6X FLAGS,0,53.99
56,2790_1509 EXT JUMP STREET CHAPEL,2011/5/28,2011/4/28,LP,VOTIVE STATUE OF MARY_ANTIQUE,1,296.25
57,2790_1509 EXT JUMP STREET CHAPEL,2011/5/28,2011/4/28,TAX,VOTIVE STATUE OF MARY_ANTIQUE,0,26.66
58,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,LP,STNDNG JESUS STATUE CIRCA 1857,1,125
59,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,TAX,STNDNG JESUS STATUE CIRCA 1857,0,11.25
60,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,LP,ORIENTAL WOODEN CONSOLE,1,125
61,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,TAX,ORIENTAL WOODEN CONSOLE,0,10.94
62,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,LP,ITALIAN ARM CHAIR,1,175
63,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,TAX,ITALIAN ARM CHAIR,0,15.31
64,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,LP,VNTGE 46TALL GLASS LIGHT,1,140
65,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,TAX,VNTGE 46TALL GLASS LIGHT,0,12.25
66,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,LP,OCTAGONAL SDE TBLE W/PLNK TOP,1,365
67,2790_1510 INT JUMP STREET CHAPEL,2011/4/5,2011/3/30,TAX,OCTAGONAL SDE TBLE W/PLNK TOP,0,31.94
68,2790_1510 INT JUMP STREET CHAPEL,2011/5/7,2011/4/7,LP,ASIAN SWING LIGHT_NEOPHOBIA,1,355
69,2790_1510 INT JUMP STREET CHAPEL,2011/5/7,2011/4/7,TAX,ASIAN SWING LIGHT_NEOPHOBIA,0,31.95
70,2790_1510 INT JUMP STREET CHAPEL,2011/5/7,2011/4/7,LP,DRACALINO LAMP_NEOPHOBIA,1,400
71,2790_1510 INT JUMP STREET CHAPEL,2011/5/7,2011/4/7,TAX,DRACALINO LAMP_NEOPHOBIA,0,36
72,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,LP,CINEMA LAMP_CAMERON JONES,1,254.15
73,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,TAX,CINEMA LAMP_CAMERON JONES,0,22.87
74,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,LP,TAYLOR BAR TABLE_CAMERON JONES,1,463.25
75,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,TAX,TAYLOR BAR TABLE_CAMERON JONES,0,41.69
76,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,LP,WISHBONE TBLE LAMP_CAMERN JNES,1,165.75
77,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,TAX,WISHBONE TBLE LAMP_CAMERN JNES,0,14.92
78,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,LP,JAM CNTRSTOOL_CAMERON JONES,1,301.75
79,2790_1510 INT JUMP STREET CHAPEL,2011/5/5,2011/4/27,TAX,JAM CNTRSTOOL_CAMERON JONES,0,27.16
80,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,DOVE/HAND SCULPTURE,1,80
81,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LL,LBR DOVE/HAND SCULPTURE,1,320
82,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,RMB 5X FOLDING SCREENS,1,1270.75
83,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,RMB 5X FOLDING SCREENS,0,114.36
84,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,JARDIN CHR_PIER1,1,149.95
85,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,JARDIN CHR_PIER1,0,13.12
86,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,JARDIN DNG CHR_PIER1,1,119.95
87,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,JARDIN DNG CHR_PIER1,0,10.5
88,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,JARDIN 36INCH RD TBL_PIER 1,1,199.95
89,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,JARDIN 36INCH RD TBL_PIER 1,0,17.5
90,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,48INCH RND 3/8INCH GLASS TOP_PIER 1,1,109.95
91,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,48INCH RND 3/8INCH GLASS TOP_PIER 1,0,9.62
92,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,ANYWHERE SCREEN_PIER 1,1,269.95
93,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,ANYWHERE SCREEN_PIER 1,0,23.62
94,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,CIRCUS VASE_HAZELNUT,1,115
95,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,CIRCUS VASE_HAZELNUT,0,10.35
96,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,USB RECORDPLAYER_URBAN OUTFITT,10,160
97,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,USB RECORDPLAYER_URBAN OUTFITT,0,14.4
98,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,RED MIRROR_COST PLUS,1,109.76
99,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,RED MIRROR_COST PLUS,0,9.6
100,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,MEDICAL SCALE_RENAISSANCE,1,195
101,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,MEDICAL SCALE_RENAISSANCE,0,17.06
102,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,LP,TUFTED BENCH_RENAISSANCE,1,235
103,2790_1510 INT JUMP STREET CHAPEL,2011/5/8,2011/4/28,TAX,TUFTED BENCH_RENAISSANCE,0,20.56
104,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/4,LP,BK LUCIAN FREUD STUDIO B&N,1,52
105,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/4,TAX,BK LUCIAN FREUD STUDIO B&N,0,4.55
106,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/4,LP,SENTRY SAFE_OFC DEPOT,1,175.99
107,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/4,TAX,SENTRY SAFE_OFC DEPOT,0,15.84
108,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,WHT PRCLN BIN_ANTHROPOLOGIE,1,158
109,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,WHT PRCLN BIN_ANTHROPOLOGIE,0,14.22
110,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,CRAMC PAINTED TRAY_ANTHROPOLOG,1,149.95
111,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,CRAMC PAINTED TRAY_ANTHROPOLOG,0,13.5
112,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,SCREEN PRINT PILLOW_ANTHROPOLO,4,148
113,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,SCREEN PRINT PILLOW_ANTHROPOLO,0,13.32
114,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,WHT PORCELAIN TUREEN_ANTHROPOL,1,148
115,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,WHT PORCELAIN TUREEN_ANTHROPOL,0,13.32
116,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,LTHR TUFTED CLUB CHAIR_RENAISS,4,195
117,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,LTHR TUFTED CLUB CHAIR_RENAISS,0,17.06
118,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,LTHR TUFTED SOFA_RENAISSANCE,1,390
119,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,LTHR TUFTED SOFA_RENAISSANCE,0,34.13
120,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,XX,30X KOREAN_ENGLISH HYMNAL,1,194.61
121,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,LP,3 STEP CABINET_RENAISSANCE,1,195
122,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/10,TAX,3 STEP CABINET_RENAISSANCE,0,17.06
123,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,DBL SIDED DRY ERASE EASEL_OFCM,1,186.99
124,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,DBL SIDED DRY ERASE EASEL_OFCM,0,16.36
125,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,BIKE TOWNIE 21_BICYCLE MICHAEL,5,435
126,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,BIKE TOWNIE 21_BICYCLE MICHAEL,0,39.15
127,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,SCHWINN RACER_BICYCLE MICHAELS,5,435
128,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,SCHWINN RACER_BICYCLE MICHAELS,0,39.15
129,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,SCHWINN JENNY_BICYCLE MICHAELS,4,450
130,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,SCHWINN JENNY_BICYCLE MICHAELS,0,40.5
131,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,BIKE DELL CRANBROOK_BICYCLE MI,3,325
132,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,BIKE DELL CRANBROOK_BICYCLE MI,0,29.25
133,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,BIKE ORIGIN 8 DEL PASADO_BIKE,5,470
134,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,BIKE ORIGIN 8 DEL PASADO_BIKE,0,42.3
135,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,LP,ABJS BORDO KEY LOCK_BICYCLE MI,1,110
136,2790_1510 INT JUMP STREET CHAPEL,2011/5/15,2011/5/12,TAX,ABJS BORDO KEY LOCK_BICYCLE MI,0,9.9
137,2790_1510 INT JUMP STREET CHAPEL,2011/6/19,2011/5/19,LP,4X FLRESCNT TUBES,1,227.8
138,2790_1510 INT JUMP STREET CHAPEL,2011/6/19,2011/5/19,TAX,4X FLRESCNT TUBES,0,19.93
139,2790_1510 INT JUMP STREET CHAPEL,2011/6/24,2011/5/24,LP,1X BLK SPUN FLR LAMP_DESIGN W/,1,1962.26
140,2790_1510 INT JUMP STREET CHAPEL,2011/6/24,2011/5/24,TAX,1X BLK SPUN FLR LAMP_DESIGN W/,0,143.28
141,2790_1510 INT JUMP STREET CHAPEL,2011/6/24,2011/5/24,LP,2X RED PENDANT LAMPS_DESIGN W/,4,956.26
142,2790_1510 INT JUMP STREET CHAPEL,2011/6/24,2011/5/24,TAX,2X RED PENDANT LAMPS_DESIGN W/,0,52.74
143,2790_1510 INT JUMP STREET CHAPEL,2011/4/25,2011/4/20,LP,4INCH KOREAN JESUS SCULPTURE,1,"1,150"
144,2790_1510 INT JUMP STREET CHAPEL,2011/7/4,2011/6/1,LL,LBR 4INCH KOREAN JESUS SCULPTURE,1,"2,900"
203,2790_1513 EXT SCHMIDT HOME,2011/7/14,2011/6/14,LP,WAGON WHEEL BENCH_HOBBY LOBBY,2,419.99
204,2790_1513 EXT SCHMIDT HOME,2011/7/14,2011/6/14,TAX,WAGON WHEEL BENCH_HOBBY LOBBY,0,39.9
205,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,19TH CNTRY LA PINE TRUNK,6,260
206,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,19TH CNTRY LA PINE TRUNK,0,22.75
207,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,DOLPHIN SCULPTURE,27,165
208,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,DOLPHIN SCULPTURE,0,14.44
209,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,RUSTIC WOOD CONSOLE,2,275
210,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,RUSTIC WOOD CONSOLE,0,24.06
211,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,VNTGE FRNCH RSH SEAT ARM CHAIR,2,175
212,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,VNTGE FRNCH RSH SEAT ARM CHAIR,0,15.31
213,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,VNTGE 2 LEVEL SDE TBLE,2,100
214,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,VNTGE 2 LEVEL SDE TBLE,0,8.75
215,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,ITALIAN NAUTZZI LTHR SOFA,1,425
216,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,ITALIAN NAUTZZI LTHR SOFA,0,37.19
217,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,ART GLASS BULL,1,100
218,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,ART GLASS BULL,0,8.75
219,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,PLNKTOP SDE TBLE W/PULL SLDE,2,375
220,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,PLNKTOP SDE TBLE W/PULL SLDE,0,32.81
221,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,2X PLNKTOP TBLES W/BURLED SLDE,4,750
222,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,2X PLNKTOP TBLES W/BURLED SLDE,0,65.63
223,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,IRON BSE CONSOLE TBLE,1,265
224,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,IRON BSE CONSOLE TBLE,0,23.19
225,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,COW HIDE RUG_COST PLUS,1,225
226,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,COW HIDE RUG_COST PLUS,0,20.25
227,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,SOPHIE SWIVEL CHAIR_CHRISTIAN,1,1125
228,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,SOPHIE SWIVEL CHAIR_CHRISTIAN,0,98.44
229,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,LOVESEAT_CHRISTIAN ST FURNITUR,1,195
230,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,LOVESEAT_CHRISTIAN ST FURNITUR,0,17.06
231,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,LP,2X SQUARE CHAIR_CHRISTIAN ST F,4,"1,300"
232,2790_1516 INT SCHMIDT HOME,2011/4/20,2011/3/30,TAX,2X SQUARE CHAIR_CHRISTIAN ST F,0,113.75
233,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,LP,2X WOOD PATTERN CHRS_AGORA,4,375
234,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,TAX,2X WOOD PATTERN CHRS_AGORA,0,33.75
235,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,LP,METAL MR. ED HORST_LE BOULEVAR,1,98
236,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,TAX,METAL MR. ED HORST_LE BOULEVAR,0,8.58
237,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,LP,MT.RUSHMORE LAMP_LE BOULEVARD,1,148.5
238,2790_1516 INT SCHMIDT HOME,2011/5/7,2011/4/7,TAX,MT.RUSHMORE LAMP_LE BOULEVARD,0,12.99
239,2790_1516 INT SCHMIDT HOME,2011/5/19,2011/4/19,LP,2X WOOD TBLS_REN INTERIORS,4,265
